Note,First Peak,MCD,Bayesian MAP
1,1562.6370790865697,2918.0741581733278,1563.2614400096113
2,1481.8912352831248,2735.882470566457,1481.8909221056742
3,329.8213467704993,566.7426935409775,330.6670939845324
4,173.30582447230597,280.1116489445968,184.8234774378331
5,220.73956801990275,337.1791360397818,226.165186131974
6,467.2118809894135,764.6237619787884,467.2118013221719
7,175.08024511234316,334.96049022468287,175.0797318414815
8,783.6443916737784,1515.7887833476036,783.0999873750412
9,155.90613814132308,297.5122762826429,155.90613786059856
10,233.05355865858706,394.90711731715794,260.24824829097304
11,1399.7972013790306,2504.994402758329,1399.7969431343963
12,1178.1983659116765,2095.3967318235905,1178.6526170802883
13,524.3085126078424,1012.4170252157178,524.2334093362757
14,556.0724126692542,1110.6448253385097,555.5085373542036
15,1050.2661147250149,1960.3322294501572,1050.137303188905
16,742.6985008328708,1444.9970016657783,742.6989163976787
17,221.29813776893872,378.49627553786286,220.5232426114097
18,184.63757663180672,369.1751532636134,184.93220007888905
19,147.85026737967917,294.6005347593581,147.08742292070673
20,831.7259594221458,1479.551918844459,832.1742854848509
21,174.24068372926527,310.78136745852197,174.75955217920082
22,234.40380324051614,436.10760648102485,233.66510208825642
23,86.20910840282232,172.31821680564465,87.35298262177469
24,989.2121121940332,1757.824224388267,989.3609075726895
25,31.00202989481454,61.90405978962908,66.00000047361308
26,293.8090241343127,523.1180482686108,294.26990127377076
27,1112.524559592394,1821.1491191851555,1112.8947596150108
28,130.84879943239105,241.8975988647776,131.0363170394082
29,104.56176319835981,209.02352639671963,85.13908303156344
30,220.8472156116135,440.89443122322683,220.45690898524435
31,415.91669765712163,793.4333953142345,416.5620336038858
32,1482.8865204939198,2634.7730409881406,1481.9364607741861
33,116.52225873916942,232.94451747833884,116.52225873201849
34,350.0990099009901,572.8980198019512,350.09900989639647
35,186.0164702082997,357.83294041659616,185.24418795871162
36,1249.3371671832406,2270.5743343666886,1249.0720007578275
37,197.0898943591788,394.0797887183576,196.5930903429207
38,1045.520550539807,2083.4411010796207,1045.2139280470901
39,467.6971858898137,849.4943717796078,467.55685283184
40,77.97456317603708,150.64912635207446,77.97456353837093
41,147.41318214032603,267.4263642806458,147.06465275641824
42,123.58954941310111,241.97909882620252,123.69622682168243
43,1320.757519494987,2486.615038990115,1320.9843527661765
44,147.93039685173773,252.36079370346556,147.1717794257143
45,467.7333165686984,880.1666331373842,467.5452475404952
46,494.2037827943868,933.7075655887612,494.87292106666564
47,277.8242677824268,517.848535564845,278.0512152670442
48,990.1555572255205,1864.7111144511462,990.6016254041969
49,370.9908825843477,741.6817651686953,370.84169747578983
50,882.0129812394416,1763.225962478884,881.4743102710258
51,525.8312020460359,900.2624040922094,525.044221120099
52,1178.2968767408179,2354.6937534816375,1177.3737136816667
53,68.7706451227763,107.04129024555434,68.77064512105193
54,1050.2973786621633,1777.99475732462,1050.7106474794396
55,786.6847826086956,1550.0695652174124,786.8238030854262
56,138.14240328910486,267.3848065782077,165.53989891053533
57,103.50610973564412,189.31221947128924,104.07921992962146
58,311.34083307996355,582.481666159918,311.9767184305658
59,164.35108974781062,300.3021794956148,165.08993077799147
60,1176.7695642424696,1993.139128485267,1177.7054879939433
61,494.9434860202261,989.086972040452,494.54350120610684
62,155.13767629281398,276.77535258562034,155.6801311836112
63,587.6381009256495,1146.4762018513252,587.575873183777
64,1320.6974981046246,2402.7949962094663,1320.6979402296797
65,1247.0938897168405,2201.3877794339473,1247.3214386675709
66,130.9530870055157,260.30617401103103,151.62943638695353
67,248.05133284526937,450.30266569052833,247.58958900581723
68,934.9917859657359,1674.1835719316498,935.4512150921929
69,882.5206520944514,1580.4413041890707,883.1090935352036
70,117.17744861940422,231.6548972388086,101.25135099812228
71,624.4045437889337,1068.6090875780312,623.293159324917
72,65.96306068601582,131.42612137203167,66.00000001547288
73,1575.2155860747364,2939.7311721496644,1568.0
74,104.65916915308698,198.31833830617458,104.07658137374109
75,1399.0360971771418,2426.072194354622,1399.7845814811124
76,523.2808881079786,1020.3617762159811,522.9124830858912
77,174.6109131820739,303.42182636413736,175.02607026466328
78,82.97537977998952,165.85075955997905,82.61575524106352
79,1322.9489603024574,2619.8979206049385,1322.5095481995788
80,77.03652294612648,141.97304589225365,78.00995730129176
81,1108.1370449678802,2005.3740899359523,1108.2313240933868
82,700.3508311747927,1399.4016623495866,699.7285747719333
83,312.20227189446683,554.1045437889177,311.5027188798782
84,74.09313094931824,139.28626189863698,73.4586258120081
85,741.4880201765448,1419.876040353147,742.1883300776788
86,1480.624086393604,2723.048172787425,1480.7245165808172
87,82.35904393280394,150.81808786560867,82.5576580757174
88,82.7950079480502,151.99001589610117,82.46186015493377
89,196.3106547948707,338.121309589729,196.31065478460226
90,881.8429526876394,1286.285905375713,881.3292977485177
91,661.9525725670977,1202.0051451343063,661.1765800975849
92,1472.3484137413177,2771.296827482793,1472.228795474721
93,624.9664429530201,1248.4328859060415,624.2026412339202
94,393.04812834224606,758.8962566844859,392.9648321872988
95,1244.5445213417663,2324.4890426836823,1245.1850019546866
96,370.79271657163883,607.0854331432471,371.00955357654874
97,93.20388349514563,177.40776699029178,92.76016099806698
98,246.7502701286795,364.10054025732956,266.3355858297865
99,165.03706887289135,300.0741377457759,165.0369512129424
100,467.17706466851286,913.654129337021,466.75724687139297
101,392.5903794442785,784.4807588885568,392.13406873532875
102,350.2611401266807,700.3222802533613,350.0780276026263
103,349.71945398207856,607.0389079641361,350.1685484183712
104,556.0775370581528,909.9550741164894,556.0775371990538
105,1571.5217593886869,2659.5435187778135,1568.0
106,174.56853798849437,318.6370759769818,174.9146434357949
107,1045.9531574266232,1932.1063148533917,1046.3793110696417
108,92.49573308374168,154.4914661674851,95.2048024158107
109,147.67681711708565,237.85363423415822,134.3828444149794
110,1480.822679266259,2613.5453585328346,1480.82363509789
111,263.5506124172885,467.10122483456337,262.5975390608882
